well_id,timestamp,SPM,dynamometer_area,max_rod_weight,min_rod_weight,pump_fillage,anomaly,estado
NK-68,2026-01-01 00:00:00,4.9841,13712.6912,4601.7461,3253.0719,63.9882,1,NORMAL
NK-68,2026-01-01 01:00:00,4.9799,15199.4916,4651.641,3204.8401,65.3272,1,NORMAL
NK-68,2026-01-01 02:00:00,4.9945,13565.152,4569.3145,3226.3857,64.4779,1,NORMAL
NK-68,2026-01-01 03:00:00,4.9813,13136.7249,4578.1595,3327.1582,65.8717,1,NORMAL
NK-68,2026-01-01 04:00:00,4.9834,14248.449,4598.0418,3222.3034,65.0052,1,NORMAL
NK-68,2026-01-01 05:00:00,4.9868,15491.8537,4639.3941,3147.839,64.4213,1,NORMAL
NK-68,2026-01-01 06:00:00,4.9985,13397.4367,4604.4299,3241.0517,63.8846,1,NORMAL
NK-68,2026-01-01 07:00:00,4.9803,13719.2067,4573.8882,3286.6753,64.0485,1,NORMAL
NK-68,2026-01-01 08:00:00,4.9889,14592.506,4619.4362,3237.2718,64.1502,1,NORMAL
NK-68,2026-01-01 09:00:00,4.9827,14977.7626,4626.0888,3124.9705,65.1655,1,NORMAL
NK-68,2026-01-01 10:00:00,5.0002,13293.1902,4645.82,3329.275,69.8222,1,NORMAL
NK-68,2026-01-01 11:00:00,4.9855,14275.1382,4608.55,3215.8775,65.2103,1,NORMAL
NK-68,2026-01-01 12:00:00,4.9855,15676.0117,4640.3769,3143.2275,64.9047,1,NORMAL
NK-68,2026-01-01 13:00:00,4.9875,13548.8595,4632.8927,3243.4709,64.0367,1,NORMAL
NK-68,2026-01-01 14:00:00,4.9851,13751.7428,4619.5874,3229.145,64.7708,1,NORMAL
NK-68,2026-01-01 15:00:00,5.0142,15087.8931,4625.6352,3183.4458,64.3907,1,NORMAL
NK-68,2026-01-01 16:00:00,4.9844,15113.3441,4642.1535,3137.5954,65.4652,1,NORMAL
NK-68,2026-01-01 17:00:00,4.9855,13702.2807,4627.2984,3274.1638,64.0488,1,NORMAL
NK-68,2026-01-01 18:00:00,4.9889,15131.2338,4627.374,3185.7138,64.8807,1,NORMAL
NK-68,2026-01-01 19:00:00,4.9868,15621.0603,4671.8258,3119.1116,64.9943,1,NORMAL
NK-68,2026-01-01 20:00:00,5.0089,13597.1896,4591.8428,3260.1025,63.6428,1,NORMAL
NK-68,2026-01-01 21:00:00,4.9848,15011.8778,4649.1463,3196.6755,65.0318,1,NORMAL
NK-68,2026-01-01 22:00:00,4.9841,15499.1819,4624.3501,3124.4035,64.9858,1,NORMAL
NK-68,2026-01-01 23:00:00,4.9875,13565.1136,4565.6101,3266.1504,64.0915,1,NORMAL
NK-68,2026-01-02 00:00:00,4.9851,14754.9022,4641.5487,3183.8238,64.9605,1,NORMAL
NK-68,2026-01-02 01:00:00,4.9786,15281.0188,4617.1682,3119.036,65.9626,1,NORMAL
NK-68,2026-01-02 02:00:00,4.9858,13620.5302,4612.4811,3240.636,64.9886,1,NORMAL
NK-68,2026-01-02 03:00:00,4.9875,14454.0719,4631.4563,3227.1417,64.6835,1,NORMAL
NK-68,2026-01-02 04:00:00,4.9827,15777.015,4621.1749,3112.9882,65.7414,1,NORMAL
NK-68,2026-01-02 05:00:00,4.9806,13650.2387,4608.4744,3253.7523,65.1015,1,NORMAL
NK-68,2026-01-02 06:00:00,4.9966,14601.858,4624.2745,3203.2526,64.746,1,NORMAL
NK-68,2026-01-02 07:00:00,4.9813,15719.3078,4657.6889,3129.4686,65.0755,1,NORMAL
NK-68,2026-01-02 08:00:00,4.9837,13834.0906,4664.9842,3206.6167,65.0441,1,NORMAL
NK-68,2026-01-02 09:00:00,4.9834,14854.7329,4643.552,3195.466,64.0959,1,NORMAL
NK-68,2026-01-02 10:00:00,4.9837,16049.5493,4696.3953,3055.6468,66.4454,1,NORMAL
NK-68,2026-01-02 11:00:00,4.9879,13940.2559,4629.4907,3216.0287,65.0189,1,NORMAL
NK-68,2026-01-02 12:00:00,4.9855,14676.584,4680.7464,3193.5004,65.3008,1,NORMAL
NK-68,2026-01-02 13:00:00,5.0045,15766.847,4687.4747,3095.7517,64.2683,1,NORMAL
NK-68,2026-01-02 14:00:00,4.9848,13742.8869,4594.7911,3244.8317,65.8102,1,NORMAL
NK-68,2026-01-02 15:00:00,4.9855,14820.047,4630.7759,3239.1996,60.2585,1,NORMAL
NK-68,2026-01-02 16:00:00,4.9806,15709.0065,4648.6171,3116.9949,67.839,1,NORMAL
NK-68,2026-01-02 17:00:00,4.983,13547.0214,4602.2375,3261.4255,65.9275,1,NORMAL
NK-68,2026-01-02 18:00:00,4.9837,14660.1437,4623.0271,3178.5697,64.9869,1,NORMAL
NK-68,2026-01-02 19:00:00,5.0275,15535.5781,4621.4773,3132.2657,63.8766,1,NORMAL
NK-68,2026-01-02 20:00:00,4.9834,13836.399,4592.2208,3234.0967,64.9109,1,NORMAL
NK-68,2026-01-02 21:00:00,4.9862,14829.3241,4647.0296,3199.0947,65.0467,1,NORMAL
NK-68,2026-01-02 22:00:00,4.9841,15266.3067,4630.5491,3129.4686,65.3509,1,NORMAL
NK-68,2026-01-02 23:00:00,4.9848,13605.877,4583.7537,3260.7829,64.2382,1,NORMAL
NK-68,2026-01-03 00:00:00,4.9844,14814.6392,4640.9817,3214.2521,65.1299,1,NORMAL
NK-68,2026-01-03 01:00:00,5.0143,15028.0667,4641.1329,3153.6601,62.7766,1,NORMAL
NK-68,2026-01-03 02:00:00,4.9868,14096.0944,4610.062,3197.3559,64.448,1,NORMAL
NK-68,2026-01-03 03:00:00,5.0024,14308.2737,4618.7558,3168.175,64.1696,1,NORMAL
NK-68,2026-01-03 04:00:00,4.982,14593.9635,4636.8616,3174.7898,65.7297,1,NORMAL
NK-68,2026-01-03 05:00:00,4.9841,14410.1355,4634.4802,3176.8688,63.8851,1,NORMAL
NK-68,2026-01-03 06:00:00,4.9862,15165.4222,4624.1233,3186.4697,64.0205,1,NORMAL
NK-68,2026-01-03 07:00:00,4.9837,16344.8154,4653.72,3048.9564,65.7721,1,NORMAL
NK-68,2026-01-03 08:00:00,4.9896,14231.7473,4645.442,3173.3156,63.5702,1,NORMAL
NK-68,2026-01-03 09:00:00,5.0052,15173.1187,4637.8822,3147.6878,65.4406,1,NORMAL
NK-68,2026-01-03 10:00:00,4.9848,15881.3663,4644.4592,3058.1038,65.4697,1,NORMAL
NK-68,2026-01-03 11:00:00,4.9841,14169.8105,4655.1942,3178.0027,64.7722,1,NORMAL
NK-68,2026-01-03 12:00:00,4.9841,15210.7238,4639.0917,3144.9663,64.8675,1,NORMAL
NK-68,2026-01-03 13:00:00,4.9837,15711.0246,4647.0296,3055.609,65.6764,1,NORMAL
NK-68,2026-01-03 14:00:00,5.003,14187.0939,4601.8217,3202.2698,62.3905,1,NORMAL
NK-68,2026-01-03 15:00:00,4.9868,15339.0304,4688.2306,3119.6408,64.3598,1,NORMAL
NK-68,2026-01-03 16:00:00,4.9868,15901.0102,4654.4382,3082.144,65.1774,1,NORMAL
NK-68,2026-01-03 17:00:00,4.9886,14075.3089,4621.0237,3203.555,65.2769,1,NORMAL
NK-68,2026-01-03 18:00:00,4.9827,15401.4811,4667.8191,3138.616,64.5993,1,NORMAL
NK-68,2026-01-03 19:00:00,4.9841,15655.6913,4664.3416,3070.1995,65.4485,1,NORMAL
NK-68,2026-01-03 20:00:00,4.9865,14537.3473,4635.274,3141.9801,65.3557,1,NORMAL
NK-68,2026-01-03 21:00:00,4.9834,15390.1015,4639.2429,3137.0284,65.5129,1,NORMAL
NK-68,2026-01-03 22:00:00,4.9939,15516.2144,4652.1702,3091.745,65.3523,1,NORMAL
NK-68,2026-01-03 23:00:00,4.9827,14636.1297,4646.8784,3166.8142,64.9413,1,NORMAL
NK-68,2026-01-04 00:00:00,4.982,15870.3184,4726.2188,3076.0584,65.74,1,NORMAL
NK-68,2026-01-04 01:00:00,4.9803,15352.5033,4648.3525,3082.2952,64.8305,1,NORMAL
NK-68,2026-01-04 02:00:00,4.9827,14761.2449,4661.3932,3160.3883,65.4521,1,NORMAL
